"ledger_bucket","rank","id","company","role_zh","original_role","tier","status","location_bucket","location","language_path","experience_path","experience_requirement","direction","chinese_relevant","formal","internship","score","source_score","posted_at","primary_url","all_links","status_evidence","analysis"
"other-location-or-unclear","11","592","龙丽集团 / 欧浪网 Eulam","效果图设计师 / renovation project visualizer","效果图设计师 / renovation project visualizer","D","verify","other","其他地区或未说明","chinese","unknown","经验要求未说明","digital","true","false","false","52","50","2026-06-28","https://eulam.infohuaxin.com/info/26193","https://eulam.infohuaxin.com/info/26193 | https://wa.me/34678385399","欧浪新版详情可访问，页面显示 2026-06-28 发布、编号 `EU-026193`，招聘项目经理、瓦工、水电工、木工及效果图设计师，称每 10 天结薪、包吃住；没有设计软件、语言、合同、社保或具体城市信息。原华信传统详情 `showinfo.asp?id=4260588` 当前已无法稳定打开，因此不再作为网站主按钮","不是品牌/VI 岗，仅在接受装修效果图、3D 可视化时作为备选。先用中文 WhatsApp 确认公司法定全称、当前是否仍招效果图设计师、具体项目城市、软件、作品集、工资、合同与社保；不提前汇款、不交押金、不做无范围的免费整套效果图。"
"other-location-or-unclear","12","919","Brightest Star（法定主体未披露）","品牌视觉设计师（交易所 VI 与数字延展）","品牌视觉设计师（交易所 VI 与数字延展）","C","verify","other","全球远程（西班牙资格待确认）","chineseCheck","mid","中级 / 2–3 年","brand","true","true","false","51","58","","https://tt3labs.com/job/1773303560734x517566533736071200","https://tt3labs.com/job/1773303560734x517566533736071200 | https://tt3labs.com/en/jobs","TT3Labs 职位页显示更新时间 2026-03-31、远程全职、USD5,000–8,000/月并有“立即投递”。职责覆盖交易所全链路品牌视觉、Logo、VI、品牌手册、官网 / App、Campaign、海报、宣传册、H5、规范文档与素材库；要求 2–3 年、Figma / Photoshop / Illustrator / AE、完整 VI 案例，基础英文设计术语只是加分。发布方只写 `Brightest Star`，未披露法定主体、产品域名、团队地区、合同或薪资支付方式","列 C 级高薪风险备选，不进入首页重点。可以只提交公开简历与作品集链接；进入面试后必须索取公司法定全称、官网 / 产品、公司域名邮箱、合同主体、固定薪资与奖金拆分、付款币种、税务、工作时区和测试付费政策。任何要求入金、买币、缴费、提供钱包助记词或先交完整免费方案都立即停止。"
"other-location-or-unclear","13","787","EXTRATOOLS","电商社媒运营 / 短视频剪辑","电商社媒运营（短视频剪辑、TikTok / Instagram 运营）","D","verify","other","其他地区或未说明","chinese","unknown","经验要求未说明","social","true","false","false","48","64","2026-07-22","https://xihua.es/forum.php?mod=viewthread&tid=666741","https://xihua.es/forum.php?mod=viewthread&tid=666741 | mailto:li214598641@gmail.com","Current Xihua original post 666741 was directly opened on 2026-08-09. It was posted 2026-07-22 and recruits an ecommerce social-media operator at EXTRATOOLS in Valdemoro, Madrid, Mon-Fri 10:00-19:30, with EUR1,810-2,000 net/month and direct email/phone. Scope is short-form editing, TikTok/Instagram publishing and data review, not a Barcelona brand/VI job.","Keep only in the manual Madrid/other queue. It is current and has a concrete route, but neither the city nor role direction meets the default Barcelona-focused graphic/VI criteria."
"madrid-excluded","14","4064","寸显传媒华侨在线 / jrhqzx","平面设计师","鹿城商场 - Fuenlabrada warehouse graphic designer","C","verify","madrid","马德里及周边","chineseCheck","unknown","经验要求未说明","brand","true","false","false","47","76","","https://jrhqzx.com/city/ES/category-catid-67-page-1.html","https://jrhqzx.com/city/ES/category-catid-67-page-1.html","jrhqzx category top post dated 01月25; asks graphic designer, art/design major, web/marketing helpful, residence and Spanish","Not Barcelona and likely retail/warehouse visual. Keep as fallback if willing to work Madrid; ask if still open and whether Chinese-first communication is possible. Round 508 location priority v2: Chinese-source records outside Barcelona are kept below Barcelona-local cards until local relevance is confirmed."
"other-location-or-unclear","15","784","閾舵渤寤哄伐 / Oulang original current detail","装修设计师 + 平面设计（空间图纸、效果图、墙绘与空间色彩）","装修设计师 + 平面设计（空间图纸、效果图、墙绘与空间色彩）","D","live","other","其他地区或未说明","chineseCheck","unknown","经验要求未说明","other","true","false","false","44","64","2026-07-16","https://oulang.ai/jobs/2417275","https://oulang.ai/jobs/2417275","Current Oulang original detail 2417275 was directly opened on 2026-08-09. Published 2026-07-16, it recruits multiple roles at Galaxy Construction in the Fuenlabrada, Madrid warehouse district, including an engineering/interior designer and a graphic-design role for drawing, wall painting and spatial colour. Contact is protected by Oulang; no Barcelona/remote option is stated.","Keep as a current but manual Madrid-only construction/space-design fallback. It is not a Barcelona brand/VI position and should not rank with core graphic-design work."
"other-location-or-unclear","16","813","中文教育 / 华人社群项目（主体待核实）","兼职新媒体助理（远程 / 灵活）","兼职新媒体助理 — 公众号排版、封面、短视频与社媒发布","D","verify","other","其他地区或未说明","chinese","unknown","经验要求未说明","social","true","false","false","43","58","","https://www.huarenjiewang.com/city/xibanya/information-id-16240692.html","https://www.huarenjiewang.com/city/xibanya/information-id-16240692.html","Current but out of target: the original Huarenjie post was opened on 2026-08-09 and shows update date 2026-06-16, Madrid, flexible remote work and phone 675128795. It requests roughly four WeChat article layouts and 8-12 short-video edits/posts monthly, plus social/community maintenance. Employer entity, pay, contract and formal design scope are not disclosed; Spanish is only preferred.","Retain only as a manual Madrid part-time content fallback. It is not a Barcelona/Spain-remote formal graphic or VI role, and should never outrank a direct design vacancy."
"madrid-excluded","17","717","Huatong Spain / 华通","品牌视觉 / VI相关机会","China-company Madrid product/supply-chain postings","D","verify","madrid","马德里及周边","chineseCheck","unknown","经验要求未说明","brand","true","false","false","43","48","","https://huatong.es/","https://huatong.es/","Huatong current page exposes DECOCASA product/R&D context and many Chinese company roles; no Barcelona design role found","Use for China-company mapping and future `产品/设计/品牌/市场/美工` searches; not a direct application source this pass. Round 508 location priority v2: Chinese-source records outside Barcelona are kept below Barcelona-local cards until local relevance is confirmed."
"review-required","18","758","BOHEME 咖啡面包连锁","宣传策划 / 新媒体运营","BOHEME 咖啡面包连锁加盟店 - 宣传策划/新媒体运营","X","verify","barcelona","巴塞罗那 / Passeig Maragall 378","chinese","unknown","经验要求未说明","social","true","false","false","43","48","","https://xihua.es/forum.php?mod=viewthread&tid=663034","https://xihua.es/forum.php?mod=viewthread&tid=663034 | https://jobtoday.com/es/trabajo/dependiente-a-tienda-BwOB6j","Verify-first: the original Xihua post is directly readable and dated 2026-05-13 for BOHEME in Barcelona (Passeig Maragall 378). It describes photo/video, short-form editing, campaign copy, Xiaohongshu/Douyin/Instagram and brand-content work, with a 652505678 contact. The employer remains active, but no newer marketing/content requisition or employer-owned replacement detail was found in the current check. A readable three-month-old post is not proof that the role is still open.","Keep only in the page-still-review queue. This is content/video adjacent rather than a core VI role, and current vacancy status is unconfirmed. Send a short Chinese availability question first; do not spend time tailoring a full application unless the employer confirms that this specific role has reopened."
"madrid-excluded","19","791","西华论坛 / TP-LINK España","独立站 / 电商运营助理","D2C 独立站 / 电商运营助理","D","verify","madrid","马德里及周边","chinese","unknown","经验要求未说明","ecommerce","true","false","false","42","58","2026-06-29","https://xihua.es/forum.php?mod=viewthread&tid=665575","https://xihua.es/forum.php?mod=viewthread&tid=665575 | mailto:hr.es@tp-link.com","2026-06-29 发布。支持 D2C 网店维护、产品信息和价格更新、促销上线、新品、CRM 活动、EDM 邮件、销售与订单数据；加分项包括 Shopify、Mailchimp、基础 HTML 和图片编辑软件。大学学历，工作/家庭居留；原帖写西班牙语和英语均需可作为工作语言，西语栏“高级”；8 小时、每周五天，税后月薪栏 EUR1810–2000，公司另称有竞争力薪资和年终奖","中国品牌和数字品牌延展价值较高，但西语是硬门槛，不应放在低语言优先组前列。若西语暂时不足，可先收藏公司与邮箱；准备好英语/西语简历后，以 Shopify 页面、促销 Banner、EDM、产品发布页和电商数据案例投递。 Round 508 location priority v2: Chinese-source records outside Barcelona are kept below Barcelona-local cards until local relevance is confirmed."
"madrid-excluded","20","681","KLS","品牌视觉 / VI相关机会","Warehouse/shop role requiring `会做图` / shop assistant with graphic-design skill","D","verify","madrid","马德里及周边","chineseCheck","unknown","经验要求未说明","brand","true","false","false","42","54","2026-06-29","","","InfoHuaxin page dated 2026-06-29 says ""马德里仓库区，招员工备有居留，会做图，店员"" and another KLS post says ""招备有居留店员，另需会平面设计""; phone 688007679; no salary, contract detail, software or true design scope","Not a design job; likely shop/warehouse with image-editing support. Keep only as emergency Chinese-language work or if the user is willing to do mixed retail/warehouse + simple graphics. Ask what percentage is design, which software, and whether there is a formal contract/full insurance before sending a portfolio. Round 508 location priority v2: Chinese-source records outside Barcelona are kept below Barcelona-local cards until local relevance is confirmed."
"madrid-excluded","21","682","Toni","平面设计 + 视频编辑 among multi","平面设计 + 视频编辑 among multi-role ad/tech hiring","D","verify","madrid","马德里及周边","chineseCheck","unknown","经验要求未说明","brand","true","false","false","42","54","2026-05-09","","","InfoHuaxin page dated 2026-05-09 lists ""平面设计: 设计2名、业务销售员3名、设备维修2名、视频编辑2名""; contact Toni, phone 722201218; no company name, salary, contract, language, software or current confirmation","Worth a short phone/WhatsApp availability check only. Because the post is older and vague, ask company name, exact design/video duties, salary, contract, work-permit requirement, hours, software and whether vacancies are still open before sending any personal documents. Round 508 location priority v2: Chinese-source records outside Barcelona are kept below Barcelona-local cards until local relevance is confirmed."
"madrid-excluded","22","823","匿名仓库雇主（需先核实）","电脑修图 / 商品图片处理（旧岗确认）","电脑修图工作人员 / 商品图片处理","D","verify","madrid","马德里及周边","chinese","unknown","经验要求未说明","ecommerce","true","false","false","39","22","2026-04-04","https://www.es02.com/jobs/Recruitment/madrid/i125707.html","https://www.es02.com/jobs/Recruitment/madrid/i125707.html","2026-04-04 发布。原帖只写仓库区附近招聘一名会电脑修图的工作人员，男女和居留不限；没有公司名、软件、产品类型、工时、工资、合同、保险或语言要求。发布人为未注册匿名用户，公开电话独立搜索没有找到可验证的公司对应关系，不能视为当前在招","技能和语言门槛看起来合适，但主体与劳动条件过薄，只列入 D 级冷询问。先用中文问公司全称、地址、具体修图内容、是否仍缺人、工资、合同、保险和试图是否付费；说不清主体、要求转账或索取证件原件就停止。 Round 508 location priority v2: Chinese-source records outside Barcelona are kept below Barcelona-local cards until local relevance is confirmed."
"madrid-excluded","23","785","欧浪网 / 华信分类","市场部专员（品牌注册、社媒推广和宣传物料）","市场部专员（品牌注册、社媒推广和宣传物料）","D","verify","madrid","马德里及周边","chinese","unknown","经验要求未说明","social","true","false","false","38","69","2026-07-16","https://oulang.ai/listing/2417276","https://oulang.ai/listing/2417276","2026-07-16 发布。职责包括品牌注册、社交媒体推广、线上线下广告营销、活动执行，以及产品宣传册、价格表、海报等推广物料管理；工作时间 9:30–19:00，底薪加绩效，8 小时全保、周末双休、包午餐、满一年年假","不是纯设计岗，但比普通运营更接近品牌执行。先用中文问是否需要亲自设计海报、宣传册、产品页和社媒素材，以及是否接受英语工作；若只是采购和分发物料，则降低优先级。 Round 508 location priority v2: Chinese-source records outside Barcelona are kept below Barcelona-local cards until local relevance is confirmed."
"review-required","24","831","华人通 ES02 / 未注册“电商代理”发布者","电商订单处理 / 线上代理（风险排除）","电商订单处理 / 线上代理（高风险排除）","X","verify","barcelona","巴塞罗那及周边","chineseCheck","unknown","经验要求未说明","ecommerce","true","false","false","38","43","2026-07-25","https://www.es02.com/jobs/Recruitment/barcelona/i175435.html","https://www.es02.com/jobs/Recruitment/barcelona/i175435.html | https://forum.kaiyuan.de/forum.php?mod=viewthread&tid=1256151","Verify-first / high-risk: ES02 detail is currently readable and dated 2026-07-25 for Barcelona. It advertises ecommerce order handling, product listing/removal, buyer replies, logistics uploads and store-data optimisation, but the publisher is an unregistered user with no disclosed employer or contract; contact is WhatsApp/phone +34 676492049.","Keep in review, not usable. The page is current-looking but the employer is undisclosed and the role is ecommerce order handling rather than brand/VI. Ask for legal entity, contract, salary, social security and exact work before sharing a CV."
"other-location-or-unclear","25","822","SUNMED / Grupo KLMED","网销运营 / 品牌与电商视觉（旧岗确认）","网销运营 — 品牌视觉、海报、产品图与 Amazon 内容","D","verify","other","其他地区或未说明","chineseCheck","unknown","经验要求未说明","ecommerce","true","false","false","37","58","2026-03-31","https://www.es02.com/jobs/Recruitment/madrid/i123100.html","https://www.es02.com/jobs/Recruitment/madrid/i123100.html | mailto:rrhh@klmedalba.com","Current original listing but out of target: ES02 detail 123100 was opened on 2026-08-09. Posted 2026-03-31, it is a multi-role Valdemoro-office listing. The web-sales operation sub-role includes Amazon photography, posters, product images, campaign materials and visual consistency, but also product copy/data and sales operations. It requires fluent Spanish, salary is negotiable and the shared listing cannot prove that the visual sub-role is still separately open.","Retain only as a Madrid mixed-operations fallback. Do not show it in the Barcelona/Spain-remote brand-visual default or treat the combined advertisement as a dedicated graphic-design vacancy."
"current-main","26","24","HKU Europe / 香港大学欧洲校区","市场与品牌传播专员（HKU Europe）","Marketing & Branding Officer 鈥?HKU Europe","C","live","barcelona","Barcelona / 中文、英文、西语必需","chineseForeign","unknown","经验要求未说明","brand","true","false","false","35.3","92","2026-07-21","https://static.casaasia.es/2026/07/Marketing-and-Branding-Officer-HKU-Europe-JD-13072026.pdf","https://static.casaasia.es/2026/07/Marketing-and-Branding-Officer-HKU-Europe-JD-13072026.pdf | https://www.casaasia.eu/empleo-2/ | mailto:ssoens@hku.hk","2026-08-13 重新读取 Casa Asia 索引与 HKU Europe 原始 PDF：Barcelona 直接邮箱仍存在，无截止日期或 ATS；中文、英语和西语均为明确要求。","Keep as the clearest current Barcelona Chinese-branding route, but not as a pure VI role. Chinese, English and Spanish are all essential, and the work mixes brand guidelines, website/social/email, campaigns, events, suppliers, data and operational marketing. Send a short availability check first and ask about salary, contract, start date and the proportion of hands-on visual production."
"other-location-or-unclear","27","3949","Huarenjie / original Chinese recruitment post","兼职新媒体助理（远程 / 灵活）","兼职新媒体助理 — 公众号排版、封面、短视频与社媒发布","D","verify","other","其他地区或未说明","chineseCheck","unknown","经验要求未说明","social","true","false","false","33","58","","https://www.huarenjiewang.com/city/xibanya/information-id-16240692.html","https://www.huarenjiewang.com/city/xibanya/information-id-16240692.html","Current but out of target: the original Huarenjie post was opened on 2026-08-09 and shows update date 2026-06-16, Madrid, flexible remote work and phone 675128795. It requests roughly four WeChat article layouts and 8-12 short-video edits/posts monthly, plus social/community maintenance. Employer entity, pay, contract and formal design scope are not disclosed; Spanish is only preferred.","Retain only as a manual Madrid part-time content fallback. It is not a Barcelona/Spain-remote formal graphic or VI role, and should never outrank a direct design vacancy."
"review-required","28","710","Huarenjie","新媒体 / 短视频相关机会","Barcelona TikTok remote leisure streamer","X","verify","barcelona","巴塞罗那及周边","chineseCheck","unknown","经验要求未说明","social","true","false","false","33","38","","https://www.huarenjiewang.com/info-16027652.html","https://www.huarenjiewang.com/info-16027652.html | mailto:s3vanamedia@gmail.com","Verify-first: Huarenjie detail remains readable and was updated 2026-03-07 for a Barcelona-area remote/part-time TikTok entertainment livestream role. It advertises EUR1,000鈥?,000 claims, emotional-chat and livestream work and an email route, but it is not graphic, brand, VI or content-design employment.","Keep only in page-review as a non-design fallback, with a materially lower score. Do not treat it as a Barcelona visual-design lead; consider it only if remote entertainment livestream work is separately acceptable and verify the commission/pay model."
"other-location-or-unclear","29","1356","Huqiao Games / current LinkedIn employer detail","中英双语平面设计与视频剪辑 / Bilingual Graphic Artist","中英双语平面设计与视频剪辑 / Bilingual Graphic Artist","D","verify","other","其他地区或未说明","chineseCheck","unknown","经验要求未说明","other","true","false","false","32","60","2026-07-25","https://www.linkedin.com/jobs/view/bilingual-mandarin-english-graphic-artist-at-huqiao-games-4431050505/","https://www.linkedin.com/jobs/view/bilingual-mandarin-english-graphic-artist-at-huqiao-games-4431050505/","Current LinkedIn detail 4431050505 was directly opened on 2026-08-09. It is a real bilingual Mandarin-English Graphic Artist role with campaigns, social graphics, video and brand consistency work, but only specifies 09:00鈥?7:00 CEST working hours and a USD1,500/month contractor-style compensation signal. It does not state Barcelona, Spain remote, Europe remote, Spain entity, tax/social-security handling or a Spain-eligible contract.","Retain under manual Other/global-remote only. CEST hours are not proof of Spain/EU employment eligibility, so it cannot enter the default Barcelona/Spain/Europe queue despite the strong Chinese-language design match."
"madrid-excluded","30","802","华人通 ES02","电商运营 / 运营助理","Fuenlabrada 电商运营 / 电商运营助理（美工基础优先）","D","verify","madrid","马德里及周边","chineseCheck","junior","初级 / 实习","ecommerce","true","false","true","31","63","2026-07-03","https://www.es02.com/jobs/Recruitment/mallorca/i163183.html","https://www.es02.com/jobs/Recruitment/mallorca/i163183.html","2026-07-03 发布。电商运营岗位明确“有美工基础优先”，助理可接受无经验并提供实习机会；两个岗位均要求中文和西班牙语沟通无障碍、工作居留，周末双休。页面误标 Mallorca，但正文地址为 Calle de Piedrafita 1, 28947 Fuenlabrada, Madrid；薪资和公司名称未披露","有美工基础加分，可能涉及产品图、商品页和电商视觉，但西语是明确硬门槛。西语不足时只做中文询问，不列首投；先确认公司、平台、设计工作比例、合同、保险、薪资和实习是否有报酬。 Round 508 location priority v2: Chinese-source records outside Barcelona are kept below Barcelona-local cards until local relevance is confirmed."
"review-required","31","702","SALSAWOK / 华夏调味品","短视频内容制作 / 新媒体","SALSAWOK SL / 西班牙华夏调味品公司 - 短视频内容制作 / 新媒体","X","verify","barcelona","巴塞罗那","chineseCheck","unknown","经验要求未说明","social","true","false","false","31","46","","https://xihua.es/forum.php?mod=viewthread&tid=622560","https://xihua.es/forum.php?mod=viewthread&tid=622560 | mailto:elisahxsalsawok@gmail.com","Verify-first: the original Xihua SALSAWOK page is directly readable but dated 2025-03-04. It is a broad factory recruitment post; one listed sub-role is short-video content creation for food filming/editing and TikTok/Instagram, alongside unrelated factory, quality, warehouse and accounting jobs. It gives elisahxsalsawok@gmail.com and WeChat salsawok888, but no current content-role repost, expiry or employer-owned vacancy detail was found.","Keep only in page-still-review as a content-adjacent employer lead. Do not treat a 17-month-old multi-role factory post as a current brand/visual opening. Ask whether a dedicated food-content/video role is currently open before sending a portfolio."
"madrid-excluded","32","786","欧浪网 / 华信分类","鞋业公司 — 电商平台网络运营专员","鞋业公司 — 电商平台网络运营专员","D","verify","madrid","马德里及周边","chineseCheck","unknown","经验要求未说明","ecommerce","true","false","false","30","63","2026-07-07","","","2026-07-07 发布，页面显示还有较长有效期。负责 Temu、Miravia、AliExpress、SHEIN、Amazon，包含产品上架、详情优化、图片与详情页基础维护；西语能力是优先项而非明确硬门槛，但必须有可上保险的西班牙工作居留。周一至周五 9:30–18:30，双休、红日休息、满一年 30 天带薪假，薪资面议另加 EUR150 餐补","对低西语候选人相对友好，也是可把电商视觉作品转化为就业机会的现实路线。先电话确认是否需要 Photoshop/Canva、产品图和详情页设计，以及打包发货占工作比例；若视觉工作很少，再降为普通运营备选。 Round 508 location priority v2: Chinese-source records outside Barcelona are kept below Barcelona-local cards until local relevance is confirmed."
